Horas_Estudio,Calificacion
1.2,45.5
2.5,58.3
3.8,67.2
4.1,71.5
5.3,78.9
2.9,62.1
3.5,68.5
4.8,75.2
1.8,52.3
6.2,85.3
3.2,66.8
4.5,73.1
2.1,55.9
5.8,81.7
3.9,70.2
4.3,72.8
1.5,48.6
6.5,87.2
2.8,61.5
5.1,77.8
3.6,68.9
4.9,76.3
2.3,57.2
5.5,80.1
3.1,65.4
4.7,74.6
1.9,53.8
6.8,89.5
2.6,60.2
5.4,79.3
3.4,67.7
4.2,72.1
2.0,54.5
6.0,83.8
3.7,69.6
4.6,74.2
2.4,58.7
5.6,80.9
3.3,66.5
4.4,73.5
1.7,51.2
6.3,86.1
2.7,61.8
5.2,78.4
3.0,64.9
4.0,70.8
1.4,47.3
6.6,88.2
2.2,56.4
5.7,81.3
3.8,69.1
4.9,75.8
1.6,50.1
6.4,86.9
2.9,62.7
5.0,77.2
3.5,68.2
4.1,71.9
2.5,59.3
5.9,82.6
3.2,66.1
4.7,74.8
1.8,52.9
6.1,84.5
2.8,61.2
5.3,78.7
3.6,68.6
4.3,72.6
2.1,55.4
5.5,79.8
3.1,65.8
4.8,75.6
1.9,53.3
6.7,88.7
2.6,60.6
5.4,79.5
3.4,67.3
4.2,72.3
2.0,54.8
6.0,83.2
3.7,69.3
4.6,74.5
2.4,58.1
5.6,80.4
3.3,66.9
4.4,73.2
1.7,51.6
6.3,85.7
2.7,61.5
5.2,78.1
3.0,65.2
4.0,71.1
1.4,47.8
6.6,87.9
2.2,56.8
5.7,81.0
3.9,69.8
4.9,76.1
1.6,50.5
6.4,86.4
